,r$_x$,r$_y$,r$_z$
324,-48.54101966249684,35.267115137548394,41.5
325,-51.961524227066306,30.00000000000002,41.5
326,-54.81272745855605,24.404198584548027,41.5
327,-57.06339097770921,18.54101966249685,41.5
328,-58.688856044028334,12.474701449065584,41.5
329,-59.6713137220964,6.271707796059224,41.5
330,-60.0,7.34788079488412e-15,41.5
331,-59.67131372209641,-6.271707796059183,41.5
332,-58.68885604402834,-12.474701449065543,41.5
333,-57.06339097770922,-18.541019662496836,41.5
334,-54.81272745855607,-24.404198584547988,41.5
335,-51.96152422706633,-29.999999999999982,41.5
336,-48.54101966249685,-35.26711513754838,41.5
337,-44.58868952864368,-40.14783638153148,41.5
338,-40.147836381531505,-44.58868952864364,41.5
339,-35.267115137548394,-48.54101966249684,41.5
340,-30.00000000000003,-51.961524227066306,41.5
341,-24.404198584548052,-54.81272745855603,41.5
342,-18.541019662496854,-57.06339097770921,41.5
343,-12.474701449065588,-58.688856044028334,41.5
344,-6.271707796059254,-59.6713137220964,41.5
345,-1.1021821192326178e-14,-60.0,41.5
346,6.271707796059179,-59.67131372209641,41.5
347,12.474701449065513,-58.68885604402835,41.5
348,18.541019662496833,-57.06339097770922,41.5
349,24.404198584547984,-54.81272745855607,41.5
350,29.99999999999996,-51.96152422706634,41.5
351,35.26711513754837,-48.54101966249685,41.5
352,40.14783638153147,-44.58868952864368,41.5
353,44.58868952864362,-40.147836381531526,41.5
354,48.54101966249684,-35.2671151375484,41.5
355,51.961524227066306,-30.00000000000003,41.5
356,54.81272745855603,-24.404198584548055,41.5
357,57.06339097770921,-18.541019662496858,41.5
358,58.688856044028334,-12.474701449065591,41.5
359,59.6713137220964,-6.271707796059259,41.5
360,60.0,0.0,49.800000000000004
361,59.6713137220964,6.271707796059207,49.800000000000004
362,58.68885604402834,12.47470144906556,49.800000000000004
363,57.06339097770921,18.541019662496844,49.800000000000004
364,54.812727458556054,24.40419858454801,49.800000000000004
365,51.96152422706632,29.999999999999996,49.800000000000004
366,48.54101966249685,35.26711513754839,49.800000000000004
367,44.58868952864366,40.14783638153149,49.800000000000004
368,40.14783638153149,44.58868952864365,49.800000000000004
369,35.26711513754839,48.54101966249685,49.800000000000004
370,30.000000000000007,51.96152422706631,49.800000000000004
371,24.404198584548023,54.812727458556054,49.800000000000004
372,18.541019662496847,57.06339097770921,49.800000000000004
373,12.474701449065567,58.688856044028334,49.800000000000004
374,6.2717077960592205,59.6713137220964,49.800000000000004
375,3.67394039744206e-15,60.0,49.800000000000004
376,-6.2717077960592,59.67131372209641,49.800000000000004
377,-12.474701449065547,58.68885604402834,49.800000000000004
378,-18.54101966249684,57.06339097770922,49.800000000000004
379,-24.404198584548002,54.81272745855606,49.800000000000004
380,-29.999999999999986,51.96152422706632,49.800000000000004
381,-35.26711513754838,48.54101966249685,49.800000000000004
382,-40.14783638153148,44.58868952864367,49.800000000000004
383,-44.58868952864364,40.1478363815315,49.800000000000004
384,-48.54101966249684,35.267115137548394,49.800000000000004
385,-51.961524227066306,30.00000000000002,49.800000000000004
386,-54.81272745855605,24.404198584548027,49.800000000000004
387,-57.06339097770921,18.54101966249685,49.800000000000004
388,-58.688856044028334,12.474701449065584,49.800000000000004
389,-59.6713137220964,6.271707796059224,49.800000000000004
390,-60.0,7.34788079488412e-15,49.800000000000004
391,-59.67131372209641,-6.271707796059183,49.800000000000004
392,-58.68885604402834,-12.474701449065543,49.800000000000004
393,-57.06339097770922,-18.541019662496836,49.800000000000004
394,-54.81272745855607,-24.404198584547988,49.800000000000004
